date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2014-06-13,Chile,Australia,3,1,FIFA World Cup,Cuiabá,Brazil,TRUE
2014-06-13,Mexico,Cameroon,1,0,FIFA World Cup,Natal,Brazil,TRUE
2014-06-13,Spain,Netherlands,1,5,FIFA World Cup,Salvador,Brazil,TRUE
2014-06-14,Colombia,Greece,3,0,FIFA World Cup,Belo Horizonte,Brazil,TRUE
2014-06-14,England,Italy,1,2,FIFA World Cup,Manaus,Brazil,TRUE
2014-06-14,Ivory Coast,Japan,2,1,FIFA World Cup,Recife,Brazil,TRUE
2014-06-14,Uruguay,Costa Rica,1,3,FIFA World Cup,Fortaleza,Brazil,TRUE
2014-06-15,Argentina,Bosnia-Herzegovina,2,1,FIFA World Cup,Rio de Janeiro,Brazil,TRUE
2014-06-15,France,Honduras,3,0,FIFA World Cup,Porto Alegre,Brazil,TRUE
2014-06-15,Switzerland,Ecuador,2,1,FIFA World Cup,Brasília,Brazil,TRUE
2014-06-16,Germany,Portugal,4,0,FIFA World Cup,Salvador,Brazil,TRUE
2014-06-16,Ghana,USA,1,2,FIFA World Cup,Natal,Brazil,TRUE
2014-06-16,Iran,Nigeria,0,0,FIFA World Cup,Curitiba,Brazil,TRUE
2014-06-17,Belgium,Algeria,2,1,FIFA World Cup,Belo Horizonte,Brazil,TRUE
2014-06-17,Brazil,Mexico,0,0,FIFA World Cup,Fortaleza,Brazil,FALSE
2014-06-17,Russia,Korea Republic,1,1,FIFA World Cup,Cuiabá,Brazil,TRUE
2014-06-18,Australia,Netherlands,2,3,FIFA World Cup,Curitiba,Brazil,TRUE
2014-06-18,Cameroon,Croatia,0,4,FIFA World Cup,Manaus,Brazil,TRUE
2014-06-18,Spain,Chile,0,2,FIFA World Cup,Rio de Janeiro,Brazil,TRUE
2014-06-19,Colombia,Ivory Coast,2,1,FIFA World Cup,Brasília,Brazil,TRUE
2014-06-19,Japan,Greece,0,0,FIFA World Cup,Natal,Brazil,TRUE
2014-06-19,Uruguay,England,2,1,FIFA World Cup,São Paulo,Brazil,TRUE
2014-06-20,Honduras,Ecuador,1,2,FIFA World Cup,Curitiba,Brazil,TRUE
2014-06-20,Italy,Costa Rica,0,1,FIFA World Cup,Recife,Brazil,TRUE
2014-06-20,Switzerland,France,2,5,FIFA World Cup,Salvador,Brazil,TRUE
2014-06-21,Argentina,Iran,1,0,FIFA World Cup,Belo Horizonte,Brazil,TRUE
2014-06-21,Germany,Ghana,2,2,FIFA World Cup,Fortaleza,Brazil,TRUE
2014-06-21,Nigeria,Bosnia-Herzegovina,1,0,FIFA World Cup,Cuiabá,Brazil,TRUE
2014-06-22,Belgium,Russia,1,0,FIFA World Cup,Rio de Janeiro,Brazil,TRUE
2014-06-22,Korea Republic,Algeria,2,4,FIFA World Cup,Porto Alegre,Brazil,TRUE
2014-06-22,USA,Portugal,2,2,FIFA World Cup,Manaus,Brazil,TRUE
2014-06-23,Australia,Spain,0,3,FIFA World Cup,Curitiba,Brazil,TRUE
2014-06-23,Brazil,Cameroon,4,1,FIFA World Cup,Brasília,Brazil,FALSE
2014-06-23,Croatia,Mexico,1,3,FIFA World Cup,Recife,Brazil,TRUE
2014-06-23,Netherlands,Chile,2,0,FIFA World Cup,São Paulo,Brazil,TRUE
2014-06-24,Costa Rica,England,0,0,FIFA World Cup,Belo Horizonte,Brazil,TRUE
2014-06-24,Greece,Ivory Coast,2,1,FIFA World Cup,Fortaleza,Brazil,TRUE
2014-06-24,Italy,Uruguay,0,1,FIFA World Cup,Natal,Brazil,TRUE
2014-06-24,Japan,Colombia,1,4,FIFA World Cup,Cuiabá,Brazil,TRUE
2014-06-25,Bosnia-Herzegovina,Iran,3,1,FIFA World Cup,Salvador,Brazil,TRUE
2014-06-25,Ecuador,France,0,0,FIFA World Cup,Rio de Janeiro,Brazil,TRUE
2014-06-25,Honduras,Switzerland,0,3,FIFA World Cup,Manaus,Brazil,TRUE
2014-06-25,Nigeria,Argentina,2,3,FIFA World Cup,Porto Alegre,Brazil,TRUE
2014-06-26,Algeria,Russia,1,1,FIFA World Cup,Curitiba,Brazil,TRUE
2014-06-26,Korea Republic,Belgium,0,1,FIFA World Cup,São Paulo,Brazil,TRUE
2014-06-26,Portugal,Ghana,2,1,FIFA World Cup,Brasília,Brazil,TRUE
2014-06-26,USA,Germany,0,1,FIFA World Cup,Recife,Brazil,TRUE
2014-06-28,Brazil,Chile,1,1,FIFA World Cup,Belo Horizonte,Brazil,FALSE
2014-06-28,Colombia,Uruguay,2,0,FIFA World Cup,Rio de Janeiro,Brazil,TRUE
2014-06-29,Costa Rica,Greece,1,1,FIFA World Cup,Recife,Brazil,TRUE
2014-06-29,Netherlands,Mexico,2,1,FIFA World Cup,Fortaleza,Brazil,TRUE
2014-06-30,France,Nigeria,2,0,FIFA World Cup,Brasília,Brazil,TRUE
2014-06-30,Germany,Algeria,2,1,FIFA World Cup,Porto Alegre,Brazil,TRUE
2014-07-01,Argentina,Switzerland,1,0,FIFA World Cup,São Paulo,Brazil,TRUE
2014-07-01,Belgium,USA,2,1,FIFA World Cup,Salvador,Brazil,TRUE
